Word,Meaning,Mneomonic,Usage
stoic,"no pain, no pleasure",,
berate,scold,,
stasis,inactivity,,
ossified,"inflexible, old fashioned",,
hitherto,up to this time,,
sordid,ignoble,,
discourteous,impolite,,
prerogative,"priveledge,official right",,
veneration,"profound, deep respect",,
apprehension,anticipating something with fear and anxiety,,
antipathy,feeling of dislike,,
typify,"to embody, to exemplify",,
forebode,to predict future event,,
contravened,deny the truth of something,,
pretence,act pretending,,
ferret out,search for something,,
censure,"blame, criticize",,
derision,"act of deriding, laughing stock, disdain",,
extol,to praise,,
recourse,advice,,
coterminous,"adjoining, boundaries",,
"prudent , prudish",careful,,
presumptuous,excessively forward,,
stultifying,lose enthusiasm,,
pertinent,"important, relevant",,
proscribe,disallow,,
rancour,feeling of anger,,
facile,without any effort,,
unheralded,without warning,,
burgeoning,grow forth,,
circumlocution,indirect way of speaking,,
succinct,brief,,
consensus,a decision which required agreement among groups,,
arrant,"utter, complete",,an arrant fool
errant,aberrant,,
depraved,to make bad,"Pervert, perverted",
discordant,disagreement,,
admonish,warning,,
felicitate,congratulate,,
timbre,quality,,
facetious,humour treat,,
factious,inclined to dissension,,
factitious,"artificial, fictious","opp of fact, artificial",
implausible,failing to convince,,
risqué,something naughty,risky,
lugubrious,overly sad,,"At the funeral, lugubrious sounds filled the small church"
vilify,speak ill of,,
staunch,dependable,,no longer a staunch supporter
hackneyed,cliché,,lecturer's hackneyed advice to be true
umbrage,offense,professor umbridge from harry potter movies took offense at everything,he took umbrage at her comments
gumption,resourcefulness,,
broadside,verbal attack,,
wanton,showing no limit,,due to wanton behaviour and crude language
hegemony,dominance,,until 1587 Spanish had hegemony over the seas
checkered,disreputable,,checkered past
balk,refuse to accept,bill of milk I refuse to accept,
anathema,detested person,anaath aatma,Galileo was anathema to church
glib,insincere,doesn’t go to library,
vituperative,scold harshly,you shout at your IT person as your printer doesn’t work,
hobble,hold back,,bad weather has hobbled rescue efforts
bromide,unoriginal remark,,"stranger offered Martha following bromide, looks like its raining"
impetuous,rash,,Herbert is rarely impetuous
esoteric,understood by few,,
self effacing, modest,,
vehement,intensely emotional,,
confound,utterly confuse,,calculus was confounding
complicit,taking part in ,,he was still complicit in corruption
wanting,lacking,"he wants to fulfill it, so it lacks something",her vocab was wanting
tout,advertise strongly,,the ceo touted the success of his company
fecund,mentally productive,fec nd produce,the artist had entered a fecund period
cow,intimidate,cow se intimidation,do not be cowed by a 3000 vacab list
ribald,comically verbal,,the speaker was famous for his ribald humour
glean,collect,,I have gleaned that he grew up in difficult times
unprepossessing,unremarkable,,"Gandhi was a unprepossessing little man, dressed only in a lion cloth and a shawl"
abrogate,overturn a law,"A bro at Gate, mom said cancel plan",
conjecture,speculation,lecture me guess karna answer,
ancillary ,subordinate,auxillary,
profligate,immoral or wasteful,spend profusely like Bill Gates,
garrulous,excessive talker,,
disingenuous,insincere,"not sincere, false appearance, not genuine",
flippant,lack of respect,who flips all the time,
mendacious,habitually dishonest,"mend a city, politician",
ostentatious,showy,,
Guile,Deception,guileless,
rebuffed,"sudden resistance, refusal",,
vied,fight for supremacy,WHY FIGHT,
concession,"act of yielding, surrender",,
concede,"act of yielding, surrender",,
hubris,"arrogant, excessive pride","HUB me rehne wala, pride",
avarice,greed,aur rice,
restitution,"compensating, rewarding in some way, perhaps monetary",,
tantamount,equivalent,"X Paramount, equal wala",
refractory,rebellious,"does not listen to facts, stubborn, factors the law, factory workers are refractory",
cogitation,deep thinking,"agitate the mind, khojo kuch",
Lucubration,Intense study,"LUX is root, which means throw light, elaborate",
imbibition,"to imbibe, absorb",,
volubilty,talkative,,
intrepid,"fearless, bold",you are fearless of traps,
trepid,"fearfull, trepidation",you are in a trap,
daunted by,"intimidate, discourage",daunting is intimidating,
tempered by,"moderation, balancing act",,
extolling,praise,,
lionizing,treat as celebrity,,
badgering,annoying,,
unflappable,"composed, level-headed at all times","X of flappy bird, which is no composed, does not stay at a fixed pt",
incongruous,not similar,congruous matlab same,
salubrious,promoting good health,,
dissemination,spreading of ideas,seminar me spread of info,
confounding,confusing,,
espoused,"to accept,support, get married",I accept the spouse for marriage,
promulgated,"to make known, public",Promil ko public se milana,
dispelled,to remove,expell,
expelled,to eject,,
execrable,bad quality,EXE is CRAP,
euphuistic,something good,feminist logo se bachne ke lie accha likha ,
euphemistic,replace words to less explicit,"feminist logo se bachne ke lie less explicit,less rude, less harsh words",
eulogistic,full of praise,kisi ki death pe likhi hui speech,
divagations,"tangent, going off-topic","a DIVA at GATE, you go off topic with your friends",
Prevarications,"falsehoods, lying",trying to speak in an evasive manner,
Assignations,Romatic Meetups,"A SIG NATION, ek aisi jagah, waha milunga main tumhe",
Red-Herring,"An expression that seems like its important, but it’s a distaction",,
countenance,"encouragement, tolerate","Count to 10, see smile on face of child",
bastion,"well fortified postion , a person that strongly defends some principle","Sebastion from Little Mermaid had strong claws,",
reproof,"a rebuke or reprimand, reprove",don’t ask me to re proove this,
surly,"bad tempered, unfriendly",Sir Lee was very strict and bad tempered,
expatiated,to write in detail,ex was patient and wrote long chats,
canard,"a story, rumour",kannada movie,
staid,"serious , sedate by temperament or habits","you stayed sober for so long, you are serious and diligent",
ingenuous,innocent and unsuspecting,Genuine,
fulminating,express protest,fal nhi khaunga,
insularity,isolation,"insulate wires, isolate them",
incontinence ,Lack of voluntary control over urination or defecation.,"in continious urination, no  control",
sinecures ,a work requiring less or no work,cinema workers,
scurry,move hastily from a that place,Something scary,
scurrilous,making or spreading scandalous claims about someone with the intention of damaging their reputation,curry people from us uk aus,
Dissenter,One who refuses to accept established beliefs and practices,"one who dissents, critic",
retinue,a group of advisers or assistants accompanying an important person. ,"Entourage, routine followers",
indentured,"A contract of labour, Indentured labour – A bonded labourer under
contract to work for an employer for a specific
amount of time, to pay off his passage to a
new country or home",in debt to you sir,
maimed,wounded or injured,"my aim is poor, will wound you",
spurt,gush out,,
seething,boiling or be turbulent,soothing ka ulta,
thrall ,The state of being in someone's power or having great power over someone.,I will THRASH YOU ALL,
despotism,a ruler with absolute power,,
serfdom,"an agricultural labourer who was tied to working on his lord's estate. 
",farmer ki freedom ka ulta,
feudalism ,"dominant social system in medieval Europe, in which the nobility held lands from the Crown in exchange for military service, and vassals were tenants of and protected by the nobles, giving their lords homage, labour, and a share of the produce. ","Feudal Japan, emperor holds land, employes samurai for military service,",
pauperism,a very poor person,"paun par jeena padta, poor person",
allegory ,"a story, poem, or picture which can be interpreted to reveal a hidden meaning. ",,
hinterland  ,"e remote areas of a country away from the coast or the banks of major rivers. Øthe area around or beyond a major town or port. 
2 an area lying beyond what is visible or known.","winterland, jaha koi nahi rehta, remote location",
Obscurantist, Person or ideas that mislead,"obscure(hide,mislead) karne wala",
arrogate  ,take or claim for oneself without justification. ,"arrogant person will claim without justice, arrow at gate, claim for oneself",
temerity,boldness,"X Timidity, shyness",
tenuous,"thin, weak, fragile",Tennis playing women look thin and fragile,
abjure,Formally give up,you are INJURED so you give up,
Asperity,hardship, a spear of severity,
assuage,"appease, pacify",ass usage in toilet gives releif,ass-usage in the toilet gives huge releif
bedizen,dress up very badly,bad design dress,
chagrin,strong feelings of embarresment,"CHAI_GIR gayi, embarrassing moment",
commensurate,equivalent,common ensured rate,
conceit,excessive pride,koun Seat pe baitha,
contiguous,"well connected, very close",sound simlar to continuos,
continence,abstinence,self restraint,
convoke,call together,co-invoke,
corroborate,"support with evidence,",,
Dainty,"difficult to please, delicate food,",Diety(GOD) is Pretty and difficult to please,
decrepitude,state of detoriation,"decrease-aptitude, you getting weak, old",
demagogue,a person who leads people to something bad,dema(people)-gogue(leader),
descry,notice,des(10)-cry everyone will see,
desultry,"irregular, with no plan,purpose","de-result or no result, no purpose",
detraction,criticism,"X attraction, we critisize that",
detumescence,reduce swelling,dettol swelling apply reduce,
diffidence,lack of self confidence,"X Confidence, shy",
dilate,become wider,pupils were dilated,
dilatory,wasting time,"LATE , Delay, waste time",
disabuse,free someone from erroneos belief,"abuse BJP, disabuse Congress",
discomfit,lose composure,"you are in discomfort, you frustate, dis-cant-fit you get embarressed",
disconcert,feel embarressed,"you perform at concert, feel tensed, confused",
Accord,Aggreement,,
Discordant/ Discord,Not in agreement,,
disheveled,"untidy, disarray",Did not Shave,
disquisition,give an elabroate analytical explanation,DIS QUESTION you need to give answers,
dissemble,"trying to hide,deceive","Rancho Dis-Assembled the fridge, now needs to conceal it",
dissolute,"degenerate, no moral values",DOES_NOT-SALUTE no moral values,
dour,"severe, gloomy, ","He is so Rude , he shows me the Door, he is stubborn",
saturnine,"slow and gloomy, scornful, ","Saturn, shani makes wrong things happen, so unhappy, gloomy",
Glower,stare angryly,Gulshan Grover stares angrily at hero,
Glowering,"ill humour,dark, glum, morose",,
pertinacious,stubborn,pre-teen very stubborn,
tenacious,stubborn,ten asians,
obviate,to do away with or make unnecessary; to prevent,,
impugn,to criticize or cast doubt on,,
descant,to talk or write at length,,
plumb,to measure the depth of something,,
legerdemain,"a display of cleverness, especially to deceive others",,
gamin,a child who roams the streets,bacche sadak par PUB-G khelte rehte hai,
ostensible,"represented or appearing in one way, but not necessarily that way in reality",,
brook,to tolerate something or someone unpleasant,s,
cavort,"to floric, prance around excitedly","cave me sport, you are boisterous",
farrago,a confused mixture,"far+ago is confusing mxiture, motley, melange",
expedient,"proper, formal",,
expedience,opportunity seeking,,
Dyspeptic,irritating,,
Echelon,higher executive,,
minutiae,the small or precise details of something. ,,"While I am constantly engaged in the minutiae of the immediate
political contestations around these debates, "
peccadilloes,minor sin or fault,,
fray,"edge se fat jana, strain ho jana",,step back from the daily fray and reflect 
bequeathed,"handed down, passed down",,
progeny,"child, offspring","progenesis, genesis ",
askance,"look of suspicion, disapproval",,
defenestrated,humurously throwing someone out of the window,,
fillip,"boost, stimulus",,
garb ,"clothing, garment",,
bemused,"confused, bewilder",,
welter,turbulent,,
abate,"to lessen, to subside        ",,
abdication,giving up control authority        ,,
abet,help/encourage somebody (in doing wrong)     ,,
abeyance,suspended action          ,,
abidance,the state of abiding; abode; continuance; compliance (with),,
abject,"hopeless, most unfortunate or miserable",,
